Cell	Plate Number	Classification	Percent_Mitochondrial	Clusters
X246_1	P1	engaging	16.5890640852576	0
X247_1	P1	engaging	16.017564676391	0
X248_1	P1	engaging	25.1895219003471	2
X249_1	P1	engaging	18.6974361050796	0
X250_1	P1	engaging	10.7831297170305	0
X253_1	P1	engaging	3.81021151889058	3
X255_1	P1	engaging	20.9516395749771	6
X256_1	P1	engaging	19.3294103633114	0
X257_1	P1	engaging	16.1042714017888	3
X258_1	P1	engaging	14.5616973304839	0
X259_1	P1	engaging	18.4981746747718	0
X260_1	P1	engaging	12.0182545784296	4
X261_1	P1	engaging	19.4808716041274	2
X265_1	P1	engaging	18.7371490731962	3
X266_1	P1	engaging	14.1615952952561	0
X267_1	P1	engaging	12.6079477484872	0
X268_1	P1	engaging	22.9942367483127	2
X269_1	P1	engaging	21.5684020817624	0
X270_1	P1	engaging	25.2408999976089	2
X271_1	P1	engaging	20.0776836819526	4
X272_1	P1	engaging	19.7493692213861	0
X273_1	P1	engaging	26.8975383788987	3
X274_1	P1	engaging	17.1279822806943	0
X275_1	P1	engaging	14.2696495721536	2
X277_1	P1	engaging	27.0347413427935	0
X278_1	P1	engaging	25.9040550863727	4
X279_1	P1	engaging	11.9067945794319	0
X280_1	P1	engaging	24.9534484198665	2
X281_1	P1	engaging	20.0517622765136	6
X282_1	P1	engaging	27.2384607925951	0
X284_1	P1	engaging	15.9913299071016	4
X285_1	P1	engaging	7.41510807727365	0
X286_1	P1	engaging	21.5243837436242	0
X287_1	P1	engaging	15.7872885965637	0
X288_1	P1	engaging	11.6248244412166	2
X289_1	P1	engaging	8.18867933184031	0
X290_1	P1	engaging	10.7470482653376	0
X291_1	P1	engaging	11.4484354333	0
X292_1	P1	engaging	16.6937135065532	0
X293_1	P1	engaging	11.2196398692586	3
X294_1	P1	engaging	13.3831834896282	0
X295_1	P1	engaging	18.3941153921963	3
X296_1	P1	engaging	14.6284170500546	0
X297_1	P1	engaging	26.0147718528463	0
X298_1	P1	engaging	13.9946318888644	0
X299_1	P1	engaging	16.1365214644665	0
X301_1	P1	engaging	10.2189804105112	0
X304_1	P1	engaging	13.721747153047	0
X305_1	P1	engaging	14.5944434923101	0
X306_1	P1	engaging	21.7043412048539	0
X307_1	P1	engaging	18.3655485145791	0
X308_1	P1	engaging	17.7902762955951	0
X309_1	P1	engaging	14.5720049073891	3
X310_1	P1	engaging	19.9840597644825	2
X312_1	P1	engaging	10.4242542035598	2
X313_1	P1	engaging	7.75093554172845	2
X314_1	P1	engaging	24.2860469244995	0
X315_1	P1	engaging	15.5770116338499	2
X316_1	P1	engaging	10.536010456936	0
X317_1	P1	engaging	10.3123909816341	0
X318_1	P1	engaging	17.0964062274926	0
X319_1	P1	engaging	15.272542620787	6
X320_1	P1	engaging	23.4084969297429	2
